deployid,sex,baseline_end,cee_start,cee_start_idx,cee_id,series_start,series_end,ser_length
ZcTag069,U,2018-05-25T16:33:00Z,2018-05-25T16:33:00Z,300,18_02,2018-05-24T15:35:00Z,2018-06-06T23:55:00Z,3845
ZcTag073,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,2830,18_07,2018-08-05T20:15:00Z,2018-09-17T07:55:00Z,12237
ZcTag075,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,2587,18_07,2018-08-06T16:30:00Z,2018-08-19T23:55:00Z,3834
ZcTag079,U,2018-08-27T18:56:00Z,2018-08-27T18:56:00Z,5831,18_08,2018-08-07T13:05:00Z,2018-09-17T14:45:00Z,11829
ZcTag080,U,2018-08-15T16:00:00Z,2018-08-15T16:00:00Z,2301,18_07,2018-08-07T16:20:00Z,2018-08-20T19:55:00Z,3788
ZcTag083,U,2019-05-21T15:04:50Z,2019-05-21T15:04:50Z,2816,19_01,2019-05-11T20:25:00Z,2019-05-21T23:55:00Z,2923
ZcTag085,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,3175,19_02,2019-05-27T14:40:00Z,2019-06-09T19:55:00Z,3808
ZcTag087,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,1451,19_02,2019-06-02T14:20:00Z,2019-06-15T23:55:00Z,3860
ZcTag088,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,1448,19_02,2019-06-02T14:35:00Z,2019-06-15T23:55:00Z,3857
ZcTag089,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,1426,19_02,2019-06-02T16:25:00Z,2019-06-15T23:55:00Z,3835
ZcTag093,U,2019-08-06T17:37:43Z,2019-08-06T17:37:43Z,2071,19_03,2019-07-30T13:05:00Z,2019-08-12T23:55:00Z,3875
ZcTag095,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,2050,19_04,2019-08-12T16:25:00Z,2019-08-25T23:55:00Z,3835
ZcTag096,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,2046,19_04,2019-08-12T16:45:00Z,2019-08-25T23:55:00Z,3831
ZcTag097,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,2041,19_04,2019-08-12T17:10:00Z,2019-08-25T23:55:00Z,3826
ZcTag101,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,3477,20_03,2020-08-07T16:00:00Z,2020-08-20T23:55:00Z,3840
ZcTag102,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,3455,20_03,2020-08-07T17:50:00Z,2020-08-20T23:55:00Z,3818
ZcTag103,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,3207,20_03,2020-08-08T14:30:00Z,2020-08-21T23:55:00Z,3858
ZcTag105,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,3198,20_03,2020-08-08T15:15:00Z,2020-08-21T23:50:00Z,3848
ZcTag107,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,2917,20_03,2020-08-09T14:40:00Z,2020-08-22T23:55:00Z,3856
ZcTag109,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,2633,20_03,2020-08-10T14:20:00Z,2020-08-23T23:55:00Z,3860
ZcTag110,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,2618,20_03,2020-08-10T15:35:00Z,2020-08-23T23:55:00Z,3845
ZcTag111,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,2608,20_03,2020-08-10T16:25:00Z,2020-08-23T23:55:00Z,3835
