deployid,baseline_start_idx,baseline_end_idx
ZcTag069,1,301
ZcTag069,589,1756
ZcTag073,1,2830
ZcTag073,3118,3789
ZcTag075,1,2587
ZcTag075,2875,3738
ZcTag080,1,2301
ZcTag080,2589,3692
ZcTag083,1,2817
ZcTag085,1,3032
ZcTag085,3320,3664
ZcTag087,1,1452
ZcTag087,1740,3620
ZcTag088,1,1449
ZcTag088,1737,3857
ZcTag089,1,1427
ZcTag089,1715,3835
ZcTag093,1,2072
ZcTag093,2360,3683
ZcTag095,1,2051
ZcTag095,2339,3739
ZcTag096,1,2047
ZcTag096,2335,3831
ZcTag097,1,2042
ZcTag097,2330,3826
ZcTag101,1,3478
ZcTag101,3766,3840
ZcTag102,1,3456
ZcTag102,3744,3770
ZcTag103,1,3208
ZcTag103,3496,3858
ZcTag105,1,3199
ZcTag105,3487,3848
ZcTag107,1,2918
ZcTag107,3206,3856
ZcTag109,1,2634
ZcTag109,2922,3860
ZcTag110,1,2619
ZcTag110,2907,3845
ZcTag111,1,2609
ZcTag111,2897,3835
ZcTag131,1,256
ZcTag131,544,597
ZcTag131,885,1113
ZcTag132,1,231
ZcTag132,519,572
ZcTag132,860,7280
