Tag ID,Photo-ID ,CEE Date,CEE Date,PRE,CEE,AFTER
ZcTag078,Zca_050,CEE_18_08,20180827,20180512_S3 20180806_S8 20180807_K3 20180820_K6,20180827_S1,20180828_K4
ZcTag082,Zca_Rakes_121,CEE_19_01,20190521,20190511_S7,20190521_HW5,20190602_S3 20190602_HW6
ZcTag086,Zca_076,CEE_19_02,20190607,20190528_S2 20190528_S3 20190602_S1,20190607_NOSIGHT,20190730_S2
Zc_19_218a,Zca_Rakes_023,CEE_19_03,20190806,20190730_S1 20190804_K2 20190805_K3,20190806_S1,20190807_K6
ZcTag093,Zca_Rakes_139,CEE_19_03,20190806,20190730_S1 20190804_K2 20190805_K3,20190806_S1,20190807_K6 20190810_K1
ZcTag097,Zca_Rakes_155,CEE_19_04,20190819,20190812_S4,20190819_S5,20190820_K1
Zc_20_232a,Zca_055,CEE_20_03,20200819,20200809_S3 20200809_S5,20200819_S3 20200819_SH5,20200820_SH9
ZcTag108,Zca_104,CEE_20_03,20200819,20200809_S5 20200818_SH6,20200819_S3,20200820_SH9
ZcTag110,Zca_Rakes_166,CEE_20_03,20200819,20200808_S2 20200810_S2 20200811_S7 20200818_S1 20200818_SH7,20200819_SH2,20200820_SH2
ZcTag071,Zca_055,CEE_18_07_Control,20180815,20180805_S9 20200809_S3 20200809_S5,20180815_NOSIGHT,20200819_S3 20200819_SH5 20200820_SH9 
ZcTag073,Zca_Rakes_079,CEE_18_07_Control,20180815,20180512_S1 20180616_S2 20180805_S14,20180815_NOSIGHT,20180826_K4
ZcTag075,Zca_053,CEE_18_07_Control,20180815,20180806_S4 20180807_K1 20180814_K3,20180815_NOSIGHT,20180821_K2
ZcTag076,Zca_035,CEE_18_07_Control,20180815,20180603_S2 20180806_S4 20180807_K1 20180810_S2,20180815_NOSIGHT,20180826_S11
ZcTag078,Zca_050,CEE_18_07_Control,20180815,20180512_S3 20180806_S8 20180807_K3,20180815_NOSIGHT,20180820_K6 20180827_S1 20180828_K4
ZcTag080,Zca_054,CEE_18_07_Control,20180815,20180807_S3 20180807_K2 20180814_K3,20180815_NOSIGHT,20180821_K2 20180829_K4
